10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
 risk of interval [50,54]: 0.5702600479125977
 risk of interval [55,59]: 0.7248964309692383
 risk of interval [60,64]: 0.6065233945846558
 risk of interval [65,69]: 0.5107388496398926
 risk of interval [70,74]: 0.5715695023536682
19_037_P_snippet
 risk of interval [0,4]: 0.8016680479049683
 risk of interval [5,9]: 0.930314838886261
 risk of interval [10,14]: 0.9512971043586731
 risk of interval [15,19]: 0.7859323620796204
 risk of interval [20,24]: 0.6206027269363403
 risk of interval [25,29]: 0.8568553328514099
 risk of interval [30,34]: 0.6297890543937683
 risk of interval [35,39]: 0.7618159651756287
 risk of interval [40,44]: 0.8363914489746094
 risk of interval [45,49]: 0.8932254910469055
 risk of interval [50,54]: 0.5950108170509338
 risk of interval [55,59]: 0.0809393897652626
 risk of interval [60,64]: 0.7741525769233704
 risk of interval [65,69]: 0.8694127798080444
 risk of interval [70,74]: 0.9027996063232422
19_040_A_snippet
 risk of interval [0,4]: 0.5693461894989014
 risk of interval [5,9]: 0.7315056920051575
 risk of interval [10,14]: 0.47157523036003113
 risk of interval [15,19]: 0.9469544887542725
 risk of interval [20,24]: 0.9748194813728333
 risk of interval [25,29]: 0.9713525176048279
 risk of interval [30,34]: 0.6207867860794067
 risk of interval [35,39]: 0.8333157300949097
 risk of interval [40,44]: 0.8921599388122559
 risk of interval [45,49]: 0.5912650227546692
 risk of interval [50,54]: 0.8946030139923096
 risk of interval [55,59]: 0.9433349967002869
 risk of interval [60,64]: 0.8994622826576233
 risk of interval [65,69]: 0.9400516748428345
 risk of interval [70,74]: 0.8556712865829468
19_041_A_snippet
 risk of interval [0,4]: 0.8744610548019409
 risk of interval [5,9]: 0.7705904245376587
 risk of interval [10,14]: 0.9072752594947815
 risk of interval [15,19]: 0.33123597502708435
 risk of interval [20,24]: 0.5429830551147461
 risk of interval [25,29]: 0.8284168243408203
 risk of interval [30,34]: 0.7306687235832214
 risk of interval [35,39]: 0.5623949766159058
 risk of interval [40,44]: 0.6052449345588684
 risk of interval [45,49]: 0.6905648112297058
 risk of interval [50,54]: 0.719893753528595
 risk of interval [55,59]: 0.7283421754837036
 risk of interval [60,64]: 0.7342863082885742
 risk of interval [65,69]: 0.7909399271011353
 risk of interval [70,74]: 0.7486846446990967
19_042_A_snippet
 risk of interval [0,4]: 0.5484923124313354
 risk of interval [5,9]: 0.9823146462440491
 risk of interval [10,14]: 0.9908154606819153
 risk of interval [15,19]: 0.9907437562942505
 risk of interval [20,24]: 0.9916619062423706
 risk of interval [25,29]: 0.9141849279403687
 risk of interval [30,34]: 0.8076624274253845
 risk of interval [35,39]: 0.6865790486335754
 risk of interval [40,44]: 0.6576443314552307
 risk of interval [45,49]: 0.6530748009681702
 risk of interval [50,54]: 0.5759444236755371
 risk of interval [55,59]: 0.6052253842353821
 risk of interval [60,64]: 0.5417589545249939
 risk of interval [65,69]: 0.8016793727874756
 risk of interval [70,74]: 0.7554171085357666
19_043_C_snippet
 risk of interval [0,4]: 0.9917523860931396
 risk of interval [5,9]: 0.991157054901123
 risk of interval [10,14]: 0.8441354632377625
 risk of interval [15,19]: 0.6146340370178223
 risk of interval [20,24]: 0.6920198798179626
 risk of interval [25,29]: 0.6741803884506226
 risk of interval [30,34]: 0.6952596306800842
 risk of interval [35,39]: 0.7153013348579407
 risk of interval [40,44]: 0.6391133069992065
 risk of interval [45,49]: 0.4955304265022278
 risk of interval [50,54]: 0.8453493714332581
 risk of interval [55,59]: 0.6430802941322327
 risk of interval [60,64]: 0.8993150591850281
 risk of interval [65,69]: 0.8762077689170837
 risk of interval [70,74]: 0.8498666882514954
19_046_P_snippet
 risk of interval [0,4]: 0.08523723483085632
 risk of interval [5,9]: 0.9545131921768188
 risk of interval [10,14]: 0.10323160886764526
 risk of interval [15,19]: 0.2915789783000946
 risk of interval [20,24]: 0.1382371187210083
 risk of interval [25,29]: 0.131853386759758
 risk of interval [30,34]: 0.1812920868396759
 risk of interval [35,39]: 0.0741136223077774
 risk of interval [40,44]: 0.138326957821846
 risk of interval [45,49]: 0.854259192943573
 risk of interval [50,54]: 0.13499514758586884
 risk of interval [55,59]: 0.13073457777500153
 risk of interval [60,64]: 0.1328485906124115
 risk of interval [65,69]: 0.1369488388299942
 risk of interval [70,74]: 0.13181380927562714
19_047_A_snippet
 risk of interval [0,4]: 0.70411217212677
 risk of interval [5,9]: 0.78410404920578
 risk of interval [10,14]: 0.8403910994529724
 risk of interval [15,19]: 0.7993705868721008
 risk of interval [20,24]: 0.870774507522583
 risk of interval [25,29]: 0.7461065053939819
 risk of interval [30,34]: 0.7906484007835388
 risk of interval [35,39]: 0.4038544297218323
 risk of interval [40,44]: 0.8044816851615906
 risk of interval [45,49]: 0.8385706543922424
 risk of interval [50,54]: 0.9421783089637756
 risk of interval [55,59]: 0.8353376984596252
 risk of interval [60,64]: 0.870373547077179
 risk of interval [65,69]: 0.4991346001625061
 risk of interval [70,74]: 0.7045891284942627
19_048_P_snippet
 risk of interval [0,4]: 0.8463566899299622
 risk of interval [5,9]: 0.9676365256309509
 risk of interval [10,14]: 0.9344444274902344
 risk of interval [15,19]: 0.7099258899688721
 risk of interval [20,24]: 0.807391345500946
 risk of interval [25,29]: 0.8651631474494934
 risk of interval [30,34]: 0.9640248417854309
 risk of interval [35,39]: 0.9719979166984558
 risk of interval [40,44]: 0.9840744733810425
 risk of interval [45,49]: 0.8899663686752319
 risk of interval [50,54]: 0.7787774801254272
 risk of interval [55,59]: 0.7360090017318726
 risk of interval [60,64]: 0.7091144919395447
 risk of interval [65,69]: 0.5980710983276367
 risk of interval [70,74]: 0.6314731240272522
19_049_P_snippet
 risk of interval [0,4]: 0.3893005847930908
 risk of interval [5,9]: 0.8853316903114319
 risk of interval [10,14]: 0.98785400390625
 risk of interval [15,19]: 0.9914847612380981
 risk of interval [20,24]: 0.9899895787239075
 risk of interval [25,29]: 0.9888769388198853
 risk of interval [30,34]: 0.9895960688591003
 risk of interval [35,39]: 0.8201668858528137
 risk of interval [40,44]: 0.7207717895507812
 risk of interval [45,49]: 0.5143294334411621
 risk of interval [50,54]: 0.5536428093910217
 risk of interval [55,59]: 0.7128480672836304
 risk of interval [60,64]: 0.7007172703742981
 risk of interval [65,69]: 0.6553767323493958
 risk of interval [70,74]: 0.6970895528793335
19_050_P_snippet
 risk of interval [0,4]: 0.7612809538841248
 risk of interval [5,9]: 0.9318570494651794
 risk of interval [10,14]: 0.9782757759094238
 risk of interval [15,19]: 0.9193150997161865
 risk of interval [20,24]: 0.9654948711395264
 risk of interval [25,29]: 0.9745020270347595
 risk of interval [30,34]: 0.6473917365074158
 risk of interval [35,39]: 0.9637014269828796
 risk of interval [40,44]: 0.9177234172821045
 risk of interval [45,49]: 0.9696611762046814
 risk of interval [50,54]: 0.974186360836029
 risk of interval [55,59]: 0.9694873690605164
 risk of interval [60,64]: 0.9355268478393555
 risk of interval [65,69]: 0.8620476722717285
 risk of interval [70,74]: 0.9556589722633362
19_051_A_snippet
 risk of interval [0,4]: 0.47903984785079956
 risk of interval [5,9]: 0.06011553853750229
 risk of interval [10,14]: 0.6466838121414185
 risk of interval [15,19]: 0.9806221723556519
 risk of interval [20,24]: 0.7853776216506958
 risk of interval [25,29]: 0.5731322169303894
 risk of interval [30,34]: 0.2530844807624817
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.8202968835830688
 risk of interval [45,49]: 0.8207508325576782
 risk of interval [50,54]: 0.2530844807624817
 risk of interval [55,59]: 0.2530844807624817
 risk of interval [60,64]: 0.2530844807624817
 risk of interval [65,69]: 0.7585886716842651
 risk of interval [70,74]: 0.2530844807624817
19_054_P_snippet
 risk of interval [0,4]: 0.4906665086746216
 risk of interval [5,9]: 0.5772172808647156
 risk of interval [10,14]: 0.8913214802742004
 risk of interval [15,19]: 0.9358896017074585
 risk of interval [20,24]: 0.9878398180007935
 risk of interval [25,29]: 0.9779214262962341
 risk of interval [30,34]: 0.9493204355239868
 risk of interval [35,39]: 0.9413102865219116
 risk of interval [40,44]: 0.9560422301292419
 risk of interval [45,49]: 0.9730488657951355
 risk of interval [50,54]: 0.9576562643051147
 risk of interval [55,59]: 0.9825612306594849
 risk of interval [60,64]: 0.9800025224685669
 risk of interval [65,69]: 0.9064518213272095
 risk of interval [70,74]: 0.9009302258491516
1_003_C_snippet
 risk of interval [0,4]: 0.16483069956302643
 risk of interval [5,9]: 0.6601505875587463
 risk of interval [10,14]: 0.15419547259807587
 risk of interval [15,19]: 0.5139340162277222
 risk of interval [20,24]: 0.0939980149269104
 risk of interval [25,29]: 0.9547934532165527
 risk of interval [30,34]: 0.9633752107620239
 risk of interval [35,39]: 0.9914031624794006
 risk of interval [40,44]: 0.8268724679946899
 risk of interval [45,49]: 0.9769936800003052
 risk of interval [50,54]: 0.9890923500061035
 risk of interval [55,59]: 0.9883466958999634
 risk of interval [60,64]: 0.9803404211997986
 risk of interval [65,69]: 0.986879289150238
 risk of interval [70,74]: 0.9666436314582825
1_006_C_snippet
 risk of interval [0,4]: 0.4999857246875763
 risk of interval [5,9]: 0.6544104814529419
 risk of interval [10,14]: 0.7709913849830627
 risk of interval [15,19]: 0.8164142966270447
 risk of interval [20,24]: 0.8928427696228027
 risk of interval [25,29]: 0.9227926731109619
 risk of interval [30,34]: 0.7775270342826843
 risk of interval [35,39]: 0.19605855643749237
 risk of interval [40,44]: 0.13344866037368774
 risk of interval [45,49]: 0.01789247617125511
 risk of interval [50,54]: 0.5559375286102295
 risk of interval [55,59]: 0.8991672396659851
 risk of interval [60,64]: 0.29303720593452454
 risk of interval [65,69]: 0.01211762335151434
 risk of interval [70,74]: 0.09483712166547775
1_007_C_snippet
 risk of interval [0,4]: 0.15516042709350586
 risk of interval [5,9]: 0.014855517074465752
 risk of interval [10,14]: 0.08375555276870728
 risk of interval [15,19]: 0.9456860423088074
 risk of interval [20,24]: 0.9682765603065491
 risk of interval [25,29]: 0.9848974347114563
 risk of interval [30,34]: 0.7357357740402222
 risk of interval [35,39]: 0.5877748131752014
 risk of interval [40,44]: 0.2530844807624817
 risk of interval [45,49]: 0.9779897332191467
 risk of interval [50,54]: 0.5706509351730347
 risk of interval [55,59]: 0.6713113188743591
 risk of interval [60,64]: 0.8658870458602905
 risk of interval [65,69]: 0.6324180960655212
 risk of interval [70,74]: 0.9042174220085144
1_009_C_snippet
 risk of interval [0,4]: 0.6212109923362732
 risk of interval [5,9]: 0.8534197211265564
 risk of interval [10,14]: 0.9490187168121338
 risk of interval [15,19]: 0.9828670620918274
 risk of interval [20,24]: 0.8940392136573792
 risk of interval [25,29]: 0.9832759499549866
 risk of interval [30,34]: 0.9740725755691528
 risk of interval [35,39]: 0.9883937239646912
 risk of interval [40,44]: 0.9912154674530029
 risk of interval [45,49]: 0.9910144805908203
 risk of interval [50,54]: 0.9868378043174744
 risk of interval [55,59]: 0.9896349310874939
 risk of interval [60,64]: 0.844377875328064
 risk of interval [65,69]: 0.935905933380127
 risk of interval [70,74]: 0.9604170322418213
1_010_C_snippet
 risk of interval [0,4]: 0.09808240085840225
 risk of interval [5,9]: 0.06340806931257248
 risk of interval [10,14]: 0.8580742478370667
 risk of interval [15,19]: 0.8974977731704712
 risk of interval [20,24]: 0.9573372602462769
 risk of interval [25,29]: 0.9691898822784424
 risk of interval [30,34]: 0.8240002989768982
 risk of interval [35,39]: 0.9094100594520569
 risk of interval [40,44]: 0.967214047908783
 risk of interval [45,49]: 0.24898670613765717
 risk of interval [50,54]: 0.14803162217140198
 risk of interval [55,59]: 0.14220792055130005
 risk of interval [60,64]: 0.5425652861595154
 risk of interval [65,69]: 0.6057310104370117
 risk of interval [70,74]: 0.554649829864502
1_012_C_snippet
 risk of interval [0,4]: 0.5732433795928955
 risk of interval [5,9]: 0.8750048875808716
 risk of interval [10,14]: 0.9674714207649231
 risk of interval [15,19]: 0.933430552482605
 risk of interval [20,24]: 0.8486536145210266
 risk of interval [25,29]: 0.6842299103736877
 risk of interval [30,34]: 0.8348231911659241
 risk of interval [35,39]: 0.8684195280075073
 risk of interval [40,44]: 0.8983395099639893
 risk of interval [45,49]: 0.8737305402755737
 risk of interval [50,54]: 0.7842184901237488
 risk of interval [55,59]: 0.8559607863426208
 risk of interval [60,64]: 0.6845091581344604
 risk of interval [65,69]: 0.8328868746757507
 risk of interval [70,74]: 0.7135663032531738
1_013_C_snippet
 risk of interval [0,4]: 0.5845819115638733
 risk of interval [5,9]: 0.7051059603691101
 risk of interval [10,14]: 0.8182410597801208
 risk of interval [15,19]: 0.9165719747543335
 risk of interval [20,24]: 0.8746359348297119
 risk of interval [25,29]: 0.9147019982337952
 risk of interval [30,34]: 0.6864049434661865
 risk of interval [35,39]: 0.5335264801979065
 risk of interval [40,44]: 0.29294589161872864
 risk of interval [45,49]: 0.6236191987991333
 risk of interval [50,54]: 0.5850860476493835
 risk of interval [55,59]: 0.8446957468986511
 risk of interval [60,64]: 0.8270304203033447
 risk of interval [65,69]: 0.5601508617401123
 risk of interval [70,74]: 0.5249424576759338
1_014_C_snippet
 risk of interval [0,4]: 0.9600613713264465
 risk of interval [5,9]: 0.9355955123901367
 risk of interval [10,14]: 0.9889477491378784
 risk of interval [15,19]: 0.9870300889015198
 risk of interval [20,24]: 0.9826653003692627
 risk of interval [25,29]: 0.7816721796989441
 risk of interval [30,34]: 0.7323582768440247
 risk of interval [35,39]: 0.344168484210968
 risk of interval [40,44]: 0.6219230890274048
 risk of interval [45,49]: 0.7984220385551453
 risk of interval [50,54]: 0.9077070355415344
 risk of interval [55,59]: 0.908312201499939
 risk of interval [60,64]: 0.9741086959838867
 risk of interval [65,69]: 0.9606136083602905
 risk of interval [70,74]: 0.9714720845222473
1_015_C_snippet
 risk of interval [0,4]: 0.03333104029297829
 risk of interval [5,9]: 0.29807719588279724
 risk of interval [10,14]: 0.44082868099212646
 risk of interval [15,19]: 0.16277247667312622
 risk of interval [20,24]: 0.8244972825050354
 risk of interval [25,29]: 0.9124042987823486
 risk of interval [30,34]: 0.8878563046455383
 risk of interval [35,39]: 0.7680152058601379
 risk of interval [40,44]: 0.7799534797668457
 risk of interval [45,49]: 0.6068806052207947
 risk of interval [50,54]: 0.9236904382705688
 risk of interval [55,59]: 0.9647418260574341
 risk of interval [60,64]: 0.6464381217956543
 risk of interval [65,69]: 0.5924335718154907
 risk of interval [70,74]: 0.4795185625553131
1_017_C_snippet
 risk of interval [0,4]: 0.014910249970853329
 risk of interval [5,9]: 0.01709420047700405
 risk of interval [10,14]: 0.015384117141366005
 risk of interval [15,19]: 0.02680571749806404
 risk of interval [20,24]: 0.9044901132583618
 risk of interval [25,29]: 0.9182702898979187
 risk of interval [30,34]: 0.6767700910568237
 risk of interval [35,39]: 0.9872394800186157
 risk of interval [40,44]: 0.9410668611526489
 risk of interval [45,49]: 0.8020414710044861
 risk of interval [50,54]: 0.26474902033805847
 risk of interval [55,59]: 0.48465052247047424
 risk of interval [60,64]: 0.5791272521018982
 risk of interval [65,69]: 0.4168586730957031
 risk of interval [70,74]: 0.36038923263549805
1_018_C_snippet
 risk of interval [0,4]: 0.0301597248762846
 risk of interval [5,9]: 0.03516530618071556
 risk of interval [10,14]: 0.2562306225299835
 risk of interval [15,19]: 0.9157887101173401
 risk of interval [20,24]: 0.18106527626514435
 risk of interval [25,29]: 0.21821445226669312
 risk of interval [30,34]: 0.4116551876068115
 risk of interval [35,39]: 0.7307126522064209
 risk of interval [40,44]: 0.838670015335083
 risk of interval [45,49]: 0.7222523093223572
 risk of interval [50,54]: 0.3188624382019043
 risk of interval [55,59]: 0.44276413321495056
 risk of interval [60,64]: 0.377966046333313
 risk of interval [65,69]: 0.09080103039741516
 risk of interval [70,74]: 0.06470945477485657
20_001_P_snippet
 risk of interval [0,4]: 0.47311124205589294
 risk of interval [5,9]: 0.41841280460357666
 risk of interval [10,14]: 0.1427396535873413
 risk of interval [15,19]: 0.5220984816551208
 risk of interval [20,24]: 0.7228491306304932
 risk of interval [25,29]: 0.8670518398284912
 risk of interval [30,34]: 0.9510758519172668
 risk of interval [35,39]: 0.909976065158844
 risk of interval [40,44]: 0.8620937466621399
 risk of interval [45,49]: 0.8507697582244873
 risk of interval [50,54]: 0.8328034281730652
 risk of interval [55,59]: 0.8202913999557495
 risk of interval [60,64]: 0.8420476913452148
 risk of interval [65,69]: 0.8373271226882935
 risk of interval [70,74]: 0.815068244934082
20_002_P_snippet
 risk of interval [0,4]: 0.03076459839940071
 risk of interval [5,9]: 0.018796531483530998
 risk of interval [10,14]: 0.45863357186317444
 risk of interval [15,19]: 0.8428215980529785
 risk of interval [20,24]: 0.6341092586517334
 risk of interval [25,29]: 0.9613838791847229
 risk of interval [30,34]: 0.9836966395378113
 risk of interval [35,39]: 0.9119900465011597
 risk of interval [40,44]: 0.8746780157089233
 risk of interval [45,49]: 0.9171375632286072
 risk of interval [50,54]: 0.4996156096458435
 risk of interval [55,59]: 0.031931184232234955
 risk of interval [60,64]: 0.045900821685791016
 risk of interval [65,69]: 0.5900741815567017
 risk of interval [70,74]: 0.7296096086502075
20_003_A_snippet
 risk of interval [0,4]: 0.1746748983860016
 risk of interval [5,9]: 0.7516277432441711
 risk of interval [10,14]: 0.9528293013572693
 risk of interval [15,19]: 0.9758755564689636
 risk of interval [20,24]: 0.6761094927787781
 risk of interval [25,29]: 0.3478218615055084
 risk of interval [30,34]: 0.02973361499607563
 risk of interval [35,39]: 0.22621658444404602
 risk of interval [40,44]: 0.11729001998901367
 risk of interval [45,49]: 0.2081490457057953
 risk of interval [50,54]: 0.6964190602302551
 risk of interval [55,59]: 0.04544122889637947
 risk of interval [60,64]: 0.7700212001800537
 risk of interval [65,69]: 0.04990710690617561
 risk of interval [70,74]: 0.6207047700881958
20_005_P_snippet
 risk of interval [0,4]: 0.22962750494480133
 risk of interval [5,9]: 0.5219342708587646
 risk of interval [10,14]: 0.15921927988529205
 risk of interval [15,19]: 0.4316421449184418
 risk of interval [20,24]: 0.7378708720207214
 risk of interval [25,29]: 0.9782829880714417
 risk of interval [30,34]: 0.9826646447181702
 risk of interval [35,39]: 0.9861598014831543
 risk of interval [40,44]: 0.9148644208908081
 risk of interval [45,49]: 0.9732076525688171
 risk of interval [50,54]: 0.9259756803512573
 risk of interval [55,59]: 0.7441605925559998
 risk of interval [60,64]: 0.8080312609672546
 risk of interval [65,69]: 0.8068926334381104
 risk of interval [70,74]: 0.694712221622467
20_006_P_snippet
 risk of interval [0,4]: 0.6230711936950684
 risk of interval [5,9]: 0.0561215840280056
 risk of interval [10,14]: 0.8493056297302246
 risk of interval [15,19]: 0.9744082689285278
 risk of interval [20,24]: 0.8806648254394531
 risk of interval [25,29]: 0.9898800253868103
 risk of interval [30,34]: 0.985385537147522
 risk of interval [35,39]: 0.9748509526252747
 risk of interval [40,44]: 0.5812929272651672
 risk of interval [45,49]: 0.8457711935043335
 risk of interval [50,54]: 0.5220885276794434
 risk of interval [55,59]: 0.736971378326416
 risk of interval [60,64]: 0.9772118926048279
 risk of interval [65,69]: 0.9812220335006714
 risk of interval [70,74]: 0.9662891626358032
20_007_P_snippet
 risk of interval [0,4]: 0.02379186451435089
 risk of interval [5,9]: 0.015042183920741081
 risk of interval [10,14]: 0.03890194371342659
 risk of interval [15,19]: 0.08991613239049911
 risk of interval [20,24]: 0.9118892550468445
 risk of interval [25,29]: 0.9772882461547852
 risk of interval [30,34]: 0.9763209223747253
 risk of interval [35,39]: 0.9844820499420166
 risk of interval [40,44]: 0.9796631932258606
 risk of interval [45,49]: 0.6907187104225159
 risk of interval [50,54]: 0.49990859627723694
 risk of interval [55,59]: 0.028493691235780716
 risk of interval [60,64]: 0.021946119144558907
 risk of interval [65,69]: 0.07335393130779266
 risk of interval [70,74]: 0.022115526720881462
20_010_A_snippet
 risk of interval [0,4]: 0.02912675216794014
 risk of interval [5,9]: 0.09631834179162979
 risk of interval [10,14]: 0.021707450971007347
 risk of interval [15,19]: 0.6249211430549622
 risk of interval [20,24]: 0.8556467294692993
 risk of interval [25,29]: 0.8340941071510315
 risk of interval [30,34]: 0.9298635125160217
 risk of interval [35,39]: 0.8928776979446411
 risk of interval [40,44]: 0.9000217914581299
 risk of interval [45,49]: 0.18154338002204895
 risk of interval [50,54]: 0.9286462068557739
 risk of interval [55,59]: 0.3793805241584778
 risk of interval [60,64]: 0.7238949537277222
 risk of interval [65,69]: 0.7247276902198792
 risk of interval [70,74]: 0.29704031348228455
20_012_P_snippet
 risk of interval [0,4]: 0.7528712749481201
 risk of interval [5,9]: 0.5361661314964294
 risk of interval [10,14]: 0.9464499950408936
 risk of interval [15,19]: 0.47693201899528503
 risk of interval [20,24]: 0.9550390243530273
 risk of interval [25,29]: 0.8446848392486572
 risk of interval [30,34]: 0.9550451636314392
 risk of interval [35,39]: 0.9602211713790894
 risk of interval [40,44]: 0.971470832824707
 risk of interval [45,49]: 0.9529737830162048
 risk of interval [50,54]: 0.8849025368690491
 risk of interval [55,59]: 0.96869957447052
 risk of interval [60,64]: 0.9789421558380127
 risk of interval [65,69]: 0.9125134348869324
 risk of interval [70,74]: 0.7397583723068237
20_013_P_snippet
 risk of interval [0,4]: 0.7795969843864441
 risk of interval [5,9]: 0.6269814372062683
 risk of interval [10,14]: 0.7254427075386047
 risk of interval [15,19]: 0.8258028030395508
 risk of interval [20,24]: 0.6137394905090332
 risk of interval [25,29]: 0.5930523872375488
 risk of interval [30,34]: 0.9321321845054626
 risk of interval [35,39]: 0.8680357933044434
 risk of interval [40,44]: 0.8748903870582581
 risk of interval [45,49]: 0.7837837338447571
 risk of interval [50,54]: 0.7297217845916748
 risk of interval [55,59]: 0.8643865585327148
 risk of interval [60,64]: 0.7780550122261047
 risk of interval [65,69]: 0.616493821144104
 risk of interval [70,74]: 0.7935196161270142
20_014_P_snippet
 risk of interval [0,4]: 0.9065586924552917
 risk of interval [5,9]: 0.9841064810752869
 risk of interval [10,14]: 0.7605039477348328
 risk of interval [15,19]: 0.9684385061264038
 risk of interval [20,24]: 0.852342963218689
 risk of interval [25,29]: 0.9778915047645569
 risk of interval [30,34]: 0.9570675492286682
 risk of interval [35,39]: 0.8646678328514099
 risk of interval [40,44]: 0.9790802597999573
 risk of interval [45,49]: 0.9536880254745483
 risk of interval [50,54]: 0.9786871671676636
 risk of interval [55,59]: 0.9842759966850281
 risk of interval [60,64]: 0.987123966217041
 risk of interval [65,69]: 0.7978030443191528
 risk of interval [70,74]: 0.9415472745895386
20_015_P_snippet
 risk of interval [0,4]: 0.3873980939388275
 risk of interval [5,9]: 0.38228297233581543
 risk of interval [10,14]: 0.591524064540863
 risk of interval [15,19]: 0.9251367449760437
 risk of interval [20,24]: 0.5209569334983826
 risk of interval [25,29]: 0.2680385112762451
 risk of interval [30,34]: 0.8381238579750061
 risk of interval [35,39]: 0.9847205281257629
 risk of interval [40,44]: 0.7216736078262329
 risk of interval [45,49]: 0.27498769760131836
 risk of interval [50,54]: 0.6693772077560425
 risk of interval [55,59]: 0.016682879999279976
 risk of interval [60,64]: 0.06667535752058029
 risk of interval [65,69]: 0.6166810989379883
 risk of interval [70,74]: 0.06201783940196037
20_017_P_snippet
 risk of interval [0,4]: 0.2600919306278229
 risk of interval [5,9]: 0.12396291643381119
 risk of interval [10,14]: 0.6875248551368713
 risk of interval [15,19]: 0.7083119750022888
 risk of interval [20,24]: 0.9819560050964355
 risk of interval [25,29]: 0.991250216960907
 risk of interval [30,34]: 0.7728206515312195
 risk of interval [35,39]: 0.9658936262130737
 risk of interval [40,44]: 0.1890173852443695
 risk of interval [45,49]: 0.1312204897403717
 risk of interval [50,54]: 0.08655550330877304
 risk of interval [55,59]: 0.028856104239821434
 risk of interval [60,64]: 0.02555517852306366
 risk of interval [65,69]: 0.025235803797841072
 risk of interval [70,74]: 0.03186215087771416
20_018_A_snippet
 risk of interval [0,4]: 0.5860454440116882
 risk of interval [5,9]: 0.8735682368278503
 risk of interval [10,14]: 0.9184359908103943
 risk of interval [15,19]: 0.8469610810279846
 risk of interval [20,24]: 0.46325159072875977
 risk of interval [25,29]: 0.2359628975391388
 risk of interval [30,34]: 0.1313227266073227
 risk of interval [35,39]: 0.06607731431722641
 risk of interval [40,44]: 0.11034835129976273
 risk of interval [45,49]: 0.6454479694366455
 risk of interval [50,54]: 0.7111495733261108
 risk of interval [55,59]: 0.7907382249832153
 risk of interval [60,64]: 0.80964195728302
 risk of interval [65,69]: 0.9001224637031555
 risk of interval [70,74]: 0.7961994409561157
20_019_P_snippet
 risk of interval [0,4]: 0.38695916533470154
 risk of interval [5,9]: 0.307381272315979
 risk of interval [10,14]: 0.7774609923362732
 risk of interval [15,19]: 0.6768892407417297
 risk of interval [20,24]: 0.7677000761032104
 risk of interval [25,29]: 0.981989860534668
 risk of interval [30,34]: 0.9188232421875
 risk of interval [35,39]: 0.9416564702987671
 risk of interval [40,44]: 0.9721345901489258
 risk of interval [45,49]: 0.9713618755340576
 risk of interval [50,54]: 0.8371159434318542
 risk of interval [55,59]: 0.8269022703170776
 risk of interval [60,64]: 0.8698594570159912
 risk of interval [65,69]: 0.8228803873062134
 risk of interval [70,74]: 0.8871445059776306
20_020_P_snippet
 risk of interval [0,4]: 0.28303834795951843
 risk of interval [5,9]: 0.032250985503196716
 risk of interval [10,14]: 0.058726850897073746
 risk of interval [15,19]: 0.7588019967079163
 risk of interval [20,24]: 0.33947333693504333
 risk of interval [25,29]: 0.7384241819381714
 risk of interval [30,34]: 0.7329526543617249
 risk of interval [35,39]: 0.12787333130836487
 risk of interval [40,44]: 0.053976871073246
 risk of interval [45,49]: 0.5313271880149841
 risk of interval [50,54]: 0.1390964537858963
 risk of interval [55,59]: 0.3807203471660614
 risk of interval [60,64]: 0.8034047484397888
 risk of interval [65,69]: 0.8929591178894043
 risk of interval [70,74]: 0.5267929434776306
20_022_P_snippet
 risk of interval [0,4]: 0.8198804259300232
 risk of interval [5,9]: 0.7216725945472717
 risk of interval [10,14]: 0.8794234395027161
 risk of interval [15,19]: 0.9143756031990051
 risk of interval [20,24]: 0.9902790784835815
 risk of interval [25,29]: 0.9893141388893127
 risk of interval [30,34]: 0.9834214448928833
 risk of interval [35,39]: 0.9719935655593872
 risk of interval [40,44]: 0.9549256563186646
 risk of interval [45,49]: 0.9465251564979553
 risk of interval [50,54]: 0.9310371279716492
 risk of interval [55,59]: 0.8969382047653198
 risk of interval [60,64]: 0.9294601678848267
 risk of interval [65,69]: 0.8949822783470154
 risk of interval [70,74]: 0.9251224994659424
20_024_A_snippet
 risk of interval [0,4]: 0.6788051128387451
 risk of interval [5,9]: 0.8057428598403931
 risk of interval [10,14]: 0.7876832485198975
 risk of interval [15,19]: 0.5315731763839722
 risk of interval [20,24]: 0.5148211717605591
 risk of interval [25,29]: 0.7580401301383972
 risk of interval [30,34]: 0.8089000582695007
 risk of interval [35,39]: 0.7434644103050232
 risk of interval [40,44]: 0.41912204027175903
 risk of interval [45,49]: 0.6722585558891296
 risk of interval [50,54]: 0.7384146451950073
 risk of interval [55,59]: 0.33417561650276184
 risk of interval [60,64]: 0.6240319609642029
 risk of interval [65,69]: 0.635319173336029
 risk of interval [70,74]: 0.4047118127346039
20_025_C_snippet
 risk of interval [0,4]: 0.05292830243706703
 risk of interval [5,9]: 0.011178473941981792
 risk of interval [10,14]: 0.022893594577908516
 risk of interval [15,19]: 0.33702775835990906
 risk of interval [20,24]: 0.7399296164512634
 risk of interval [25,29]: 0.9704748392105103
 risk of interval [30,34]: 0.9852344393730164
 risk of interval [35,39]: 0.8975110054016113
 risk of interval [40,44]: 0.8586266040802002
 risk of interval [45,49]: 0.9719491600990295
 risk of interval [50,54]: 0.7738417387008667
 risk of interval [55,59]: 0.9380115866661072
 risk of interval [60,64]: 0.9808684587478638
